index	genome	identifier	file	clip	scale	sum_stat	description
39	1	ENCFF621CJR	/home/suncz/work/s02/Encode_epigenome/data/ENCFF621CJR.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
40	1	ENCFF422IKM	/home/suncz/work/s02/Encode_epigenome/data/ENCFF422IKM.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
41	1	ENCFF648TRC	/home/suncz/work/s02/Encode_epigenome/data/ENCFF648TRC.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
42	1	ENCFF709BSK	/home/suncz/work/s02/Encode_epigenome/data/ENCFF709BSK.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
43	1	ENCFF436OUJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF436OUJ.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
44	1	ENCFF851FKA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF851FKA.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
45	1	ENCFF451OPA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF451OPA.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
46	1	ENCFF691VIC	/home/suncz/work/s02/Encode_epigenome/data/ENCFF691VIC.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
47	1	ENCFF035DCQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF035DCQ.bigWig	32	2	mean	ChIP-seq:CTCF:pancreas
48	1	ENCFF298FKN	/home/suncz/work/s02/Encode_epigenome/data/ENCFF298FKN.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
49	1	ENCFF793OAF	/home/suncz/work/s02/Encode_epigenome/data/ENCFF793OAF.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
50	1	ENCFF003MCE	/home/suncz/work/s02/Encode_epigenome/data/ENCFF003MCE.bigWig	32	2	mean	ChIP-seq:H3K9me3:pancreas
51	1	ENCFF831FJX	/home/suncz/work/s02/Encode_epigenome/data/ENCFF831FJX.bigWig	32	2	mean	DNase-seq::dorsolateral prefrontal cortex
